"","Entity","Code","Year","source","energy_twh","rank"
"1","World","OWID_WRL",1990,"coal",4460.2417,1
"2","World","OWID_WRL",1990,"hydro",2158.854,2
"3","World","OWID_WRL",1990,"nuclear",2000.596,3
"4","World","OWID_WRL",1990,"gas",1789.7031,4
"5","United States","USA",1990,"coal",1725.1552,5
"6","World","OWID_WRL",1990,"oil",1364.6844,6
"7","United States","USA",1990,"nuclear",607.22284,7
"8","Russia","RUS",1990,"gas",511.61584,8
"9","China","CHN",1990,"coal",441.251,9
"10","United States","USA",1990,"gas",400.82275,10
"11","France","FRA",1990,"nuclear",314.08,11
"12","Germany","DEU",1990,"coal",310.03998,12
"13","Canada","CAN",1990,"hydro",295.68332,13
"14","United States","USA",1990,"hydro",292.2809,14
"15","Japan","JPN",1990,"oil",287.53784,15
"16","Brazil","BRA",1990,"hydro",206.708,16
"17","United Kingdom","GBR",1990,"coal",204.66,17
"18","Japan","JPN",1990,"nuclear",194.57127,18
"19","India","IND",1990,"coal",191.633,19
"20","Japan","JPN",1990,"gas",172.93031,20
"21","Russia","RUS",1990,"hydro",166.84561,21
"22","Russia","RUS",1990,"coal",156.85474,22
"23","South Africa","ZAF",1990,"coal",155.926,23
"24","Germany","DEU",1990,"nuclear",152.47,24
"25","United States","USA",1990,"oil",135.97871,25
"26","Russia","RUS",1990,"oil",128.49379,26
"27","China","CHN",1990,"hydro",126.74397,27
"28","Australia","AUS",1990,"coal",123.363,28
"29","Norway","NOR",1990,"hydro",121.14,29
"30","Japan","JPN",1990,"coal",119.28444,30
"31","Russia","RUS",1990,"nuclear",118.32501,31
"32","Japan","JPN",1990,"hydro",86.895,32
"33","Canada","CAN",1990,"coal",82.22,33
"34","Sweden","SWE",1990,"hydro",72.5,34
"35","Canada","CAN",1990,"nuclear",72.46,35
"36","Sweden","SWE",1990,"nuclear",68.18,36
"37","India","IND",1990,"hydro",66.397064,37
"38","United Kingdom","GBR",1990,"nuclear",65.75,38
"39","France","FRA",1990,"hydro",53.87,39
"40","China","CHN",1990,"oil",50.366,40
"41","Germany","DEU",1990,"gas",40.46,41
"42","United Kingdom","GBR",1990,"oil",36.53,42
"43","France","FRA",1990,"coal",31.47,43
"44","Germany","DEU",1990,"oil",24.75,44
"45","Germany","DEU",1990,"hydro",17.43,45
"46","Canada","CAN",1990,"oil",16.468,46
"47","Australia","AUS",1990,"hydro",14.7595,47
"48","India","IND",1990,"oil",13.312,48
"49","France","FRA",1990,"oil",12.84,49
"50","Australia","AUS",1990,"gas",12.5655,50
"51","India","IND",1990,"gas",9.958,51
"52","Canada","CAN",1990,"gas",9.654,52
"53","South Africa","ZAF",1990,"nuclear",8.449,53
"54","India","IND",1990,"nuclear",6.3948717,54
"55","United Kingdom","GBR",1990,"hydro",5.21,55
"56","Brazil","BRA",1990,"oil",5.0698996,56
"57","United Kingdom","GBR",1990,"gas",5,57
"58","Brazil","BRA",1990,"coal",4.620541,58
"59","World","OWID_WRL",1990,"wind",3.6324706,59
"60","Australia","AUS",1990,"oil",3.474,60
"61","France","FRA",1990,"gas",3.03,61
"62","United States","USA",1990,"wind",2.8167677,62
"63","China","CHN",1990,"gas",2.771,63
"64","Brazil","BRA",1990,"nuclear",2.237,64
"65","Sweden","SWE",1990,"bioenergy",1.94,65
"66","Sweden","SWE",1990,"oil",1.85,66
"67","Germany","DEU",1990,"bioenergy",1.6,67
"68","France","FRA",1990,"bioenergy",1.41,68
