"","Entity","Code","Year","source","energy_twh","rank","energy_prop","energy_prop_cum","energy_prop_pos"
"1","Australia","AUS",1990,"coal",123.363,1,0.80021665520686,0.80021665520686,0.40010832760343
"2","Australia","AUS",1990,"hydro",14.7595,2,0.0957401953788871,0.895956850585747,0.848086752896304
"3","Australia","AUS",1990,"gas",12.5655,3,0.0815084132276436,0.977465263813391,0.936711057199569
"4","Australia","AUS",1990,"oil",3.474,4,0.0225347361866089,1,0.988732631906695
"5","Brazil","BRA",1990,"hydro",206.708,1,0.944040036095442,0.944040036095442,0.472020018047721
"6","Brazil","BRA",1990,"oil",5.0698996,2,0.0231543442991286,0.967194380394571,0.955617208245007
"7","Brazil","BRA",1990,"coal",4.620541,3,0.0211021135728683,0.988296493967439,0.977745437181005
"8","Brazil","BRA",1990,"nuclear",2.237,4,0.0102164287823669,0.998512922749806,0.993404708358623
"9","Brazil","BRA",1990,"gas",0.325612,5,0.00148707725019404,1,0.999256461374903
"10","Canada","CAN",1990,"hydro",295.68332,1,0.620548244904529,0.620548244904529,0.310274122452264
"11","Canada","CAN",1990,"coal",82.22,2,0.172554463660819,0.793102708565348,0.706825476734938
"12","Canada","CAN",1990,"nuclear",72.46,3,0.152071228859924,0.945173937425272,0.86913832299531
"13","Canada","CAN",1990,"oil",16.468,4,0.03456126134233,0.979735198767602,0.962454568096437
"14","Canada","CAN",1990,"gas",9.654,5,0.020260773439328,0.99999597220693,0.989865585487266
"15","Canada","CAN",1990,"wind",0.001919192,6,4.02779307008191e-06,1,0.999997986103465
"16","China","CHN",1990,"coal",441.251,1,0.710393548209146,0.710393548209146,0.355196774104573
"17","China","CHN",1990,"hydro",126.74397,2,0.204051885576267,0.914445433785413,0.81241949099728
"18","China","CHN",1990,"oil",50.366,3,0.0810869130021277,0.995532346787541,0.954988890286477
"19","China","CHN",1990,"gas",2.771,4,0.00446118087457602,0.999993527662117,0.997762937224829
"20","China","CHN",1990,"wind",0.002020202,5,3.25243108090228e-06,0.999996780093198,0.999995153877657
"21","China","CHN",1990,"solar",0.002,6,3.21990680229233e-06,1,0.999998390046599
"22","France","FRA",1990,"nuclear",314.08,1,0.752828379674017,0.752828379674017,0.376414189837009
"23","France","FRA",1990,"hydro",53.87,2,0.129122722914669,0.881951102588686,0.817389741131352
