"","Entity","Code","Year","source","energy_twh","rank"
"1","World","OWID_WRL",1900,"bioenergy",6111,1
"2","World","OWID_WRL",1900,"coal",5728,2
"3","World","OWID_WRL",1900,"oil",181,3
"4","World","OWID_WRL",1900,"gas",64,4
"5","World","OWID_WRL",1900,"hydro",47.22222,5
"6","World","OWID_WRL",1900,"other_renewables",0,6
"7","World","OWID_WRL",1900,"solar",0,7
"8","World","OWID_WRL",1900,"wind",0,8
"9","World","OWID_WRL",1900,"nuclear",0,9
"10","World","OWID_WRL",1910,"coal",8656,1
"11","World","OWID_WRL",1910,"bioenergy",6389,2
"12","World","OWID_WRL",1910,"oil",397,3
"13","World","OWID_WRL",1910,"gas",142,4
"14","World","OWID_WRL",1910,"hydro",91.666664,5
"15","World","OWID_WRL",1910,"other_renewables",0,6
"16","World","OWID_WRL",1910,"solar",0,7
"17","World","OWID_WRL",1910,"wind",0,8
"18","World","OWID_WRL",1910,"nuclear",0,9
"19","World","OWID_WRL",1920,"coal",9833,1
"20","World","OWID_WRL",1920,"bioenergy",6944,2
"21","World","OWID_WRL",1920,"oil",889,3
"22","World","OWID_WRL",1920,"gas",233,4
"23","World","OWID_WRL",1920,"hydro",177.77777,5
"24","World","OWID_WRL",1920,"other_renewables",0,6
"25","World","OWID_WRL",1920,"solar",0,7
"26","World","OWID_WRL",1920,"wind",0,8
"27","World","OWID_WRL",1920,"nuclear",0,9
"28","World","OWID_WRL",1930,"coal",10125,1
"29","World","OWID_WRL",1930,"bioenergy",7222,2
"30","World","OWID_WRL",1930,"oil",1756,3
"31","World","OWID_WRL",1930,"gas",603,4
"32","World","OWID_WRL",1930,"hydro",363.8889,5
"33","World","OWID_WRL",1930,"other_renewables",0,6
"34","World","OWID_WRL",1930,"solar",0,7
"35","World","OWID_WRL",1930,"wind",0,8
"36","World","OWID_WRL",1930,"nuclear",0,9
"37","World","OWID_WRL",1940,"coal",11586,1
"38","World","OWID_WRL",1940,"bioenergy",7222,2
"39","World","OWID_WRL",1940,"oil",2653,3
"40","World","OWID_WRL",1940,"gas",875,4
"41","World","OWID_WRL",1940,"hydro",533.3333,5
"42","World","OWID_WRL",1940,"other_renewables",0,6
"43","World","OWID_WRL",1940,"solar",0,7
"44","World","OWID_WRL",1940,"wind",0,8
"45","World","OWID_WRL",1940,"nuclear",0,9
"46","World","OWID_WRL",1950,"coal",12603,1
"47","World","OWID_WRL",1950,"bioenergy",7500,2
"48","World","OWID_WRL",1950,"oil",5444,3
"49","World","OWID_WRL",1950,"gas",2092,4
"50","World","OWID_WRL",1950,"hydro",925,5
"51","World","OWID_WRL",1950,"other_renewables",0,6
"52","World","OWID_WRL",1950,"solar",0,7
"53","World","OWID_WRL",1950,"wind",0,8
"54","World","OWID_WRL",1950,"nuclear",0,9
"55","World","OWID_WRL",1960,"coal",15442,1
"56","World","OWID_WRL",1960,"oil",11097,2
"57","World","OWID_WRL",1960,"bioenergy",8889,3
"58","World","OWID_WRL",1960,"gas",4472,4
"59","World","OWID_WRL",1960,"hydro",1913.8889,5
"60","World","OWID_WRL",1960,"other_renewables",0,6
"61","World","OWID_WRL",1960,"solar",0,7
"62","World","OWID_WRL",1960,"wind",0,8
"63","World","OWID_WRL",1960,"nuclear",0,9
"64","World","OWID_WRL",1965,"oil",17996.53,1
"65","World","OWID_WRL",1965,"coal",16140.178,2
"66","World","OWID_WRL",1965,"bioenergy",9171.029861,3
"67","World","OWID_WRL",1965,"gas",6303.8267,4
"68","World","OWID_WRL",1965,"hydro",2729.8865,5
"69","World","OWID_WRL",1965,"nuclear",72.469345,6
"70","World","OWID_WRL",1965,"other_renewables",55.949085,7
"71","World","OWID_WRL",1965,"solar",0,8
"72","World","OWID_WRL",1965,"wind",0,9
"73","World","OWID_WRL",1966,"oil",19352.656,1
"74","World","OWID_WRL",1966,"coal",16324.094,2
"75","World","OWID_WRL",1966,"bioenergy",9227.209844,3
"76","World","OWID_WRL",1966,"gas",6868.8228,4
"77","World","OWID_WRL",1966,"hydro",2909.136,5
"78","World","OWID_WRL",1966,"nuclear",97.70497,6
"79","World","OWID_WRL",1966,"other_renewables",61.737606,7
"80","World","OWID_WRL",1966,"solar",0,8
"81","World","OWID_WRL",1966,"wind",0,9
"82","World","OWID_WRL",1967,"oil",20744.31,1
"83","World","OWID_WRL",1967,"coal",16060.81,2
"84","World","OWID_WRL",1967,"bioenergy",9283.383716,3
"85","World","OWID_WRL",1967,"gas",7374.067,4
"86","World","OWID_WRL",1967,"hydro",2973.9692,5
"87","World","OWID_WRL",1967,"nuclear",116.35517,6
"88","World","OWID_WRL",1967,"other_renewables",62.35338,7
"89","World","OWID_WRL",1967,"solar",0,8
"90","World","OWID_WRL",1967,"wind",0,9
"91","World","OWID_WRL",1968,"oil",22499.12,1
"92","World","OWID_WRL",1968,"coal",16301.146,2
"93","World","OWID_WRL",1968,"bioenergy",9340.5538,3
"94","World","OWID_WRL",1968,"gas",8044.3594,4
"95","World","OWID_WRL",1968,"hydro",3132.3052,5
"96","World","OWID_WRL",1968,"nuclear",147.87189,6
"97","World","OWID_WRL",1968,"other_renewables",69.03191,7
"98","World","OWID_WRL",1968,"solar",0,8
"99","World","OWID_WRL",1968,"wind",0,9
"100","World","OWID_WRL",1969,"oil",24363.566,1
"101","World","OWID_WRL",1969,"coal",16798.734,2
"102","World","OWID_WRL",1969,"bioenergy",9396.723981,3
"103","World","OWID_WRL",1969,"gas",8833.446,4
"104","World","OWID_WRL",1969,"hydro",3316.9805,5
"105","World","OWID_WRL",1969,"nuclear",175.31134,6
"106","World","OWID_WRL",1969,"other_renewables",72.558716,7
"107","World","OWID_WRL",1969,"solar",0,8
"108","World","OWID_WRL",1969,"wind",0,9
"109","World","OWID_WRL",1970,"oil",26520.377,1
"110","World","OWID_WRL",1970,"coal",17058.607,2
"111","World","OWID_WRL",1970,"gas",9614.819,3
"112","World","OWID_WRL",1970,"bioenergy",9457.501494,4
"113","World","OWID_WRL",1970,"hydro",3473.4265,5
"114","World","OWID_WRL",1970,"nuclear",223.80801,6
"115","World","OWID_WRL",1970,"other_renewables",80.33795,7
"116","World","OWID_WRL",1970,"solar",0,8
"117","World","OWID_WRL",1970,"wind",0,9
"118","World","OWID_WRL",1971,"oil",28021.105,1
"119","World","OWID_WRL",1971,"coal",16965.777,2
"120","World","OWID_WRL",1971,"gas",10293.2,3
"121","World","OWID_WRL",1971,"bioenergy",9512.562146,4
"122","World","OWID_WRL",1971,"hydro",3628.942,5
