"","Entity","Code","Year","sector","emissions"
"1","Australia","AUS",1990,"Agriculture",178010000
"2","Australia","AUS",1990,"LandUseAndForestry",54390000
"3","Australia","AUS",1990,"Waste",19930000
"4","Australia","AUS",1990,"Industry",10820000
"5","Australia","AUS",1990,"ManufacturingAndConstruction",43100000
"6","Australia","AUS",1990,"Transport",63920000
"7","Australia","AUS",1990,"ElectricityAndHeat",143470000
"8","Australia","AUS",1990,"Buildings",9300000
"9","Australia","AUS",1990,"FugitiveEmissions",15030000
"10","Australia","AUS",1990,"OtherFuelCombustion",3410000
"11","Australia","AUS",1990,"AviationAndShipping",6550000
"12","Australia","AUS",1991,"Agriculture",176300000
"13","Australia","AUS",1991,"LandUseAndForestry",54390000
"14","Australia","AUS",1991,"Waste",19910000
"15","Australia","AUS",1991,"Industry",10400000
"16","Australia","AUS",1991,"ManufacturingAndConstruction",43350000
"17","Australia","AUS",1991,"Transport",62420000
"18","Australia","AUS",1991,"ElectricityAndHeat",145940000
"19","Australia","AUS",1991,"Buildings",9380000
"20","Australia","AUS",1991,"FugitiveEmissions",15880000
"21","Australia","AUS",1991,"OtherFuelCombustion",3430000
"22","Australia","AUS",1991,"AviationAndShipping",6530000
"23","Australia","AUS",1992,"Agriculture",172850000
"24","Australia","AUS",1992,"LandUseAndForestry",54390000
"25","Australia","AUS",1992,"Waste",19650000
"26","Australia","AUS",1992,"Industry",10320000
"27","Australia","AUS",1992,"ManufacturingAndConstruction",43040000
"28","Australia","AUS",1992,"Transport",63940000
"29","Australia","AUS",1992,"ElectricityAndHeat",148370000
"30","Australia","AUS",1992,"Buildings",9730000
"31","Australia","AUS",1992,"FugitiveEmissions",16270000
"32","Australia","AUS",1992,"OtherFuelCombustion",3480000
"33","Australia","AUS",1992,"AviationAndShipping",6900000
"34","Australia","AUS",1993,"Agriculture",170380000
"35","Australia","AUS",1993,"LandUseAndForestry",54390000
"36","Australia","AUS",1993,"Waste",19490000
"37","Australia","AUS",1993,"Industry",9930000
"38","Australia","AUS",1993,"ManufacturingAndConstruction",43970000
"39","Australia","AUS",1993,"Transport",65070000
"40","Australia","AUS",1993,"ElectricityAndHeat",149800000
"41","Australia","AUS",1993,"Buildings",10210000
"42","Australia","AUS",1993,"FugitiveEmissions",17360000
"43","Australia","AUS",1993,"OtherFuelCombustion",3600000
"44","Australia","AUS",1993,"AviationAndShipping",7480000
"45","Australia","AUS",1994,"Agriculture",171860000
"46","Australia","AUS",1994,"LandUseAndForestry",54390000
"47","Australia","AUS",1994,"Waste",18790000
"48","Australia","AUS",1994,"Industry",8520000
"49","Australia","AUS",1994,"ManufacturingAndConstruction",45680000
"50","Australia","AUS",1994,"Transport",66750000
"51","Australia","AUS",1994,"ElectricityAndHeat",152540000
"52","Australia","AUS",1994,"Buildings",9900000
"53","Australia","AUS",1994,"FugitiveEmissions",18050000
"54","Australia","AUS",1994,"OtherFuelCombustion",3690000
"55","Australia","AUS",1994,"AviationAndShipping",7880000
"56","Australia","AUS",1995,"Agriculture",169110000
"57","Australia","AUS",1995,"LandUseAndForestry",54430000
"58","Australia","AUS",1995,"Waste",18730000
"59","Australia","AUS",1995,"Industry",7720000
"60","Australia","AUS",1995,"ManufacturingAndConstruction",46480000
"61","Australia","AUS",1995,"Transport",69510000
"62","Australia","AUS",1995,"ElectricityAndHeat",158780000
"63","Australia","AUS",1995,"Buildings",10460000
"64","Australia","AUS",1995,"FugitiveEmissions",18940000
"65","Australia","AUS",1995,"OtherFuelCombustion",3820000
"66","Australia","AUS",1995,"AviationAndShipping",8700000
"67","Australia","AUS",1996,"Agriculture",156990000
"68","Australia","AUS",1996,"LandUseAndForestry",56490000
"69","Australia","AUS",1996,"Waste",17140000
"70","Australia","AUS",1996,"Industry",7780000
"71","Australia","AUS",1996,"ManufacturingAndConstruction",46320000
"72","Australia","AUS",1996,"Transport",72030000
"73","Australia","AUS",1996,"ElectricityAndHeat",166650000
"74","Australia","AUS",1996,"Buildings",10810000
"75","Australia","AUS",1996,"FugitiveEmissions",19450000
"76","Australia","AUS",1996,"OtherFuelCombustion",3830000
"77","Australia","AUS",1996,"AviationAndShipping",9210000
"78","Australia","AUS",1997,"Agriculture",155510000
"79","Australia","AUS",1997,"LandUseAndForestry",59540000
"80","Australia","AUS",1997,"Waste",16900000
"81","Australia","AUS",1997,"Industry",7690000
"82","Australia","AUS",1997,"ManufacturingAndConstruction",47820000
"83","Australia","AUS",1997,"Transport",73420000
"84","Australia","AUS",1997,"ElectricityAndHeat",170890000
"85","Australia","AUS",1997,"Buildings",10890000
"86","Australia","AUS",1997,"FugitiveEmissions",20200000
"87","Australia","AUS",1997,"OtherFuelCombustion",3980000
"88","Australia","AUS",1997,"AviationAndShipping",9210000
"89","Australia","AUS",1998,"Agriculture",162500000
"90","Australia","AUS",1998,"LandUseAndForestry",57510000
"91","Australia","AUS",1998,"Waste",16080000
"92","Australia","AUS",1998,"Industry",8590000
"93","Australia","AUS",1998,"ManufacturingAndConstruction",47930000
"94","Australia","AUS",1998,"Transport",73440000
"95","Australia","AUS",1998,"ElectricityAndHeat",191190000
"96","Australia","AUS",1998,"Buildings",11120000
"97","Australia","AUS",1998,"FugitiveEmissions",21430000
"98","Australia","AUS",1998,"OtherFuelCombustion",4060000
"99","Australia","AUS",1998,"AviationAndShipping",9580000
"100","Australia","AUS",1999,"Agriculture",194070000
"101","Australia","AUS",1999,"LandUseAndForestry",59990000
"102","Australia","AUS",1999,"Waste",16160000
"103","Australia","AUS",1999,"Industry",8200000
"104","Australia","AUS",1999,"ManufacturingAndConstruction",47800000
"105","Australia","AUS",1999,"Transport",74880000
"106","Australia","AUS",1999,"ElectricityAndHeat",195010000
"107","Australia","AUS",1999,"Buildings",11020000
"108","Australia","AUS",1999,"FugitiveEmissions",21470000
"109","Australia","AUS",1999,"OtherFuelCombustion",4160000
"110","Australia","AUS",1999,"AviationAndShipping",9920000
"111","Australia","AUS",2000,"Agriculture",211050000
"112","Australia","AUS",2000,"LandUseAndForestry",53760000
"113","Australia","AUS",2000,"Waste",15580000
"114","Australia","AUS",2000,"Industry",8590000
"115","Australia","AUS",2000,"ManufacturingAndConstruction",48320000
"116","Australia","AUS",2000,"Transport",77180000
"117","Australia","AUS",2000,"ElectricityAndHeat",197770000
"118","Australia","AUS",2000,"Buildings",11290000
"119","Australia","AUS",2000,"FugitiveEmissions",22950000
"120","Australia","AUS",2000,"OtherFuelCombustion",4230000
"121","Australia","AUS",2000,"AviationAndShipping",10310000
"122","Australia","AUS",2001,"Agriculture",229610000
"123","Australia","AUS",2001,"LandUseAndForestry",31610000
"124","Australia","AUS",2001,"Waste",15790000
"125","Australia","AUS",2001,"Industry",10090000
"126","Australia","AUS",2001,"ManufacturingAndConstruction",47590000
"127","Australia","AUS",2001,"Transport",76540000
"128","Australia","AUS",2001,"ElectricityAndHeat",205180000
"129","Australia","AUS",2001,"Buildings",11570000
"130","Australia","AUS",2001,"FugitiveEmissions",24180000
"131","Australia","AUS",2001,"OtherFuelCombustion",4240000
"132","Australia","AUS",2001,"AviationAndShipping",10730000
"133","Australia","AUS",2002,"Agriculture",215120000
"134","Australia","AUS",2002,"LandUseAndForestry",33670000
"135","Australia","AUS",2002,"Waste",15900000
"136","Australia","AUS",2002,"Industry",10740000
"137","Australia","AUS",2002,"ManufacturingAndConstruction",38230000
"138","Australia","AUS",2002,"Transport",78290000
"139","Australia","AUS",2002,"ElectricityAndHeat",219690000
"140","Australia","AUS",2002,"Buildings",11910000
"141","Australia","AUS",2002,"FugitiveEmissions",24330000
"142","Australia","AUS",2002,"OtherFuelCombustion",5070000
"143","Australia","AUS",2002,"AviationAndShipping",8850000
"144","Australia","AUS",2003,"Agriculture",136070000
"145","Australia","AUS",2003,"LandUseAndForestry",36940000
"146","Australia","AUS",2003,"Waste",14820000
"147","Australia","AUS",2003,"Industry",11720000
"148","Australia","AUS",2003,"ManufacturingAndConstruction",44520000
"149","Australia","AUS",2003,"Transport",78600000
"150","Australia","AUS",2003,"ElectricityAndHeat",210860000
"151","Australia","AUS",2003,"Buildings",12010000
"152","Australia","AUS",2003,"FugitiveEmissions",24530000
"153","Australia","AUS",2003,"OtherFuelCombustion",6180000
"154","Australia","AUS",2003,"AviationAndShipping",8860000
"155","Australia","AUS",2004,"Agriculture",180340000
"156","Australia","AUS",2004,"LandUseAndForestry",30130000
"157","Australia","AUS",2004,"Waste",14420000
"158","Australia","AUS",2004,"Industry",12380000
"159","Australia","AUS",2004,"ManufacturingAndConstruction",45540000
"160","Australia","AUS",2004,"Transport",81480000
"161","Australia","AUS",2004,"ElectricityAndHeat",220540000
"162","Australia","AUS",2004,"Buildings",11860000
"163","Australia","AUS",2004,"FugitiveEmissions",24680000
"164","Australia","AUS",2004,"OtherFuelCombustion",6190000
"165","Australia","AUS",2004,"AviationAndShipping",10080000
"166","Australia","AUS",2005,"Agriculture",137240000
"167","Australia","AUS",2005,"LandUseAndForestry",30060000
"168","Australia","AUS",2005,"Waste",14280000
"169","Australia","AUS",2005,"Industry",13440000
"170","Australia","AUS",2005,"ManufacturingAndConstruction",44060000
"171","Australia","AUS",2005,"Transport",81610000
"172","Australia","AUS",2005,"ElectricityAndHeat",225640000
"173","Australia","AUS",2005,"Buildings",11920000
"174","Australia","AUS",2005,"FugitiveEmissions",25660000
"175","Australia","AUS",2005,"OtherFuelCombustion",6530000
