"","Entity","Code","Year","nuclear_perc"
"1","Africa","","1965",0
"2","Africa (EI)","","1965",0
"3","Algeria","DZA","1965",0
"4","Argentina","ARG","1965",0
"5","Asia","","1965",0.00132469
"6","Asia Pacific (EI)","","1965",0.001354859
"7","Austria","AUT","1965",0
"8","Belgium","BEL","1965",0
"9","Brazil","BRA","1965",0
"10","Bulgaria","BGR","1965",0
"11","CIS (EI)","","1965",0.07632619
"12","Canada","CAN","1965",0.026147766
"13","Chile","CHL","1965",0
"14","China","CHN","1965",0
"15","Colombia","COL","1965",0
"16","Czechia","CZE","1965",0
"17","Egypt","EGY","1965",0
"18","Europe","","1965",0.3176716
"19","Europe (EI)","","1965",0.44982257
"20","European Union (27)","","1965",0.13686492
"21","France","FRA","1965",0.194345
"22","Germany","DEU","1965",0.011180748
"23","High-income countries","","1965",0.21770808
"24","Hungary","HUN","1965",0
"25","India","IND","1965",0
"26","Indonesia","IDN","1965",0
"27","Iran","IRN","1965",0
"28","Italy","ITA","1965",1.0727067
"29","Japan","JPN","1965",0.003890063
"30","Lower-middle-income countries","","1965",0
"31","Mexico","MEX","1965",0
"32","Middle East (EI)","","1965",0
"33","Netherlands","NLD","1965",0
"34","Non-OECD (EI)","","1965",0.041455362
"35","North America","","1965",0.068917446
"36","North America (EI)","","1965",0.06999875
"37","OECD (EI)","","1965",0.2197707
"38","Oceania","","1965",0
"39","Pakistan","PAK","1965",0
"40","Peru","PER","1965",0
"41","Poland","POL","1965",0
"42","Romania","ROU","1965",0
"43","Saudi Arabia","SAU","1965",0
"44","Slovakia","SVK","1965",0
"45","South Africa","ZAF","1965",0
"46","South America","","1965",0
"47","South and Central America (EI)","","1965",0
"48","Taiwan","TWN","1965",0
"49","USSR","OWID_USS","1965",0.07632619
"50","United Kingdom","GBR","1965",1.8541287
"51","United States","USA","1965",0.075638965
"52","Upper-middle-income countries","","1965",0.050988868
"53","Venezuela","VEN","1965",0
"54","World","OWID_WRL","1965",0.16733527
"55","Africa","","1966",0
"56","Africa (EI)","","1966",0
"57","Algeria","DZA","1966",0
"58","Argentina","ARG","1966",0
"59","Asia","","1966",0.028513491
"60","Asia Pacific (EI)","","1966",0.029158363
"61","Austria","AUT","1966",0
"62","Belgium","BEL","1966",0.004279176
"63","Brazil","BRA","1966",0
"64","Bulgaria","BGR","1966",0
"65","CIS (EI)","","1966",0.0796093
"66","Canada","CAN","1966",0.033003476
"67","Chile","CHL","1966",0
"68","China","CHN","1966",0
"69","Colombia","COL","1966",0
"70","Czechia","CZE","1966",0
"71","Egypt","EGY","1966",0
"72","Europe","","1966",0.39440012
"73","Europe (EI)","","1966",0.5722332
"74","European Union (27)","","1966",0.16238812
"75","France","FRA","1966",0.29510805
"76","Germany","DEU","1966",0.02525835
"77","High-income countries","","1966",0.2836726
"78","Hungary","HUN","1966",0
"79","India","IND","1966",0
"80","Indonesia","IDN","1966",0
"81","Iran","IRN","1966",0
"82","Italy","ITA","1966",1.0871043
"83","Japan","JPN","1966",0.08228497
"84","Lower-middle-income countries","","1966",0
"85","Mexico","MEX","1966",0
"86","Middle East (EI)","","1966",0
"87","Netherlands","NLD","1966",0
"88","Non-OECD (EI)","","1966",0.043484464
"89","North America","","1966",0.09832133
"90","North America (EI)","","1966",0.099639
"91","OECD (EI)","","1966",0.28622645
"92","Oceania","","1966",0
"93","Pakistan","PAK","1966",0
"94","Peru","PER","1966",0
"95","Poland","POL","1966",0
"96","Romania","ROU","1966",0
"97","Saudi Arabia","SAU","1966",0
"98","Slovakia","SVK","1966",0
"99","South Africa","ZAF","1966",0
"100","South America","","1966",0
"101","South and Central America (EI)","","1966",0.002351584
"102","Taiwan","TWN","1966",0
"103","USSR","OWID_USS","1966",0.0796093
"104","United Kingdom","GBR","1966",2.4647062
"105","United States","USA","1966",0.10813137
"106","Upper-middle-income countries","","1966",0.05302781
"107","Venezuela","VEN","1966",0
"108","World","OWID_WRL","1966",0.21415555
"109","Africa","","1967",0
"110","Africa (EI)","","1967",0
"111","Algeria","DZA","1967",0
"112","Argentina","ARG","1967",0
"113","Asia","","1967",0.029322447
"114","Asia Pacific (EI)","","1967",0.029994303
"115","Austria","AUT","1967",0
"116","Belgium","BEL","1967",0.06386287
"117","Brazil","BRA","1967",0
"118","Bulgaria","BGR","1967",0
"119","CIS (EI)","","1967",0.08272498
"120","Canada","CAN","1967",0.028076189
"121","Chile","CHL","1967",0
"122","China","CHN","1967",0
"123","Colombia","COL","1967",0
"124","Czechia","CZE","1967",0
"125","Egypt","EGY","1967",0
"126","Europe","","1967",0.43856004
"127","Europe (EI)","","1967",0.6439114
"128","European Union (27)","","1967",0.18572594
"129","France","FRA","1967",0.41275114
"130","Germany","DEU","1967",0.11705796
"131","High-income countries","","1967",0.32604355
"132","Hungary","HUN","1967",0
"133","India","IND","1967",0
"134","Indonesia","IDN","1967",0
"135","Iran","IRN","1967",0
"136","Italy","ITA","1967",0.81905293
"137","Japan","JPN","1967",0.077430345
"138","Lower-middle-income countries","","1967",0
"139","Mexico","MEX","1967",0
"140","Middle East (EI)","","1967",0
"141","Netherlands","NLD","1967",0
"142","Non-OECD (EI)","","1967",0.046477154
"143","North America","","1967",0.13064912
"144","North America (EI)","","1967",0.13207115
"145","OECD (EI)","","1967",0.32940263
"146","Oceania","","1967",0
"147","Pakistan","PAK","1967",0
"148","Peru","PER","1967",0
"149","Poland","POL","1967",0
"150","Romania","ROU","1967",0
"151","Saudi Arabia","SAU","1967",0
"152","Slovakia","SVK","1967",0
"153","South Africa","ZAF","1967",0
"154","South America","","1967",0
"155","South and Central America (EI)","","1967",0.007170549
"156","Taiwan","TWN","1967",0
"157","USSR","OWID_USS","1967",0.08272498
"158","United Kingdom","GBR","1967",2.8368886
"159","United States","USA","1967",0.14491223
"160","Upper-middle-income countries","","1967",0.056384597
"161","Venezuela","VEN","1967",0
"162","World","OWID_WRL","1967",0.24577968
"163","Africa","","1968",0
"164","Africa (EI)","","1968",0
"165","Algeria","DZA","1968",0
"166","Argentina","ARG","1968",0
