"","Entity","Code","Year","other_renewables","solar","wind","hydro"
"1","World","OWID_WRL",1965,17.985231,0,0,923.19806
"2","World","OWID_WRL",1966,19.806007,0,0,983.81696
"3","World","OWID_WRL",1967,19.98657,0,0,1005.7424
"4","World","OWID_WRL",1968,22.120045,0,0,1059.2887
"5","World","OWID_WRL",1969,23.257965,0,0,1121.7424
"6","World","OWID_WRL",1970,25.701897,0,0,1174.6497
"7","World","OWID_WRL",1971,27.888294,0,0,1227.2422
"8","World","OWID_WRL",1972,29.888775,0,0,1284.629
"9","World","OWID_WRL",1973,32.09585,0,0,1303.013
"10","World","OWID_WRL",1974,34.289085,0,0,1431.2317
"11","World","OWID_WRL",1975,34.81208,0,0,1448.8834
"12","World","OWID_WRL",1976,38.79105,0,0,1443.1366
"13","World","OWID_WRL",1977,40.89204,0,0,1491.6724
"14","World","OWID_WRL",1978,43.29665,0,0.003,1614.3823
"15","World","OWID_WRL",1979,46.499256,0,0.006,1695.1862
"16","World","OWID_WRL",1980,49.717464,0,0.0105,1731.6493
"17","World","OWID_WRL",1981,53.48617,0,0.0105,1768.9036
"18","World","OWID_WRL",1982,61.708954,0,0.0185,1800.9081
"19","World","OWID_WRL",1983,68.35493,0.003,0.03279495,1877.7689
"20","World","OWID_WRL",1984,76.34615,0.006311111,0.044755556,1941.3734
"21","World","OWID_WRL",1985,78.69558,0.011747475,0.064220205,1979.2446
"22","World","OWID_WRL",1986,85.43938,0.015183838,0.13883132,2006.0651
"23","World","OWID_WRL",1987,91.51002,0.01060303,0.19537677,2033.1884
"24","World","OWID_WRL",1988,94.15391,0.01019596,0.3315798,2098.3518
"25","World","OWID_WRL",1989,104.66536,0.26222324,2.6497767,2087.588
"26","World","OWID_WRL",1990,117.21735,0.38834995,3.6324706,2158.854
"27","World","OWID_WRL",1991,122.25421,0.5053229,4.086107,2208.702
"28","World","OWID_WRL",1992,131.14992,0.4666791,4.732812,2208.4592
"29","World","OWID_WRL",1993,135.47186,0.5566775,5.704169,2341.4597
"30","World","OWID_WRL",1994,140.66844,0.5969829,7.13173,2356.203
"31","World","OWID_WRL",1995,146.63136,0.63888276,8.272123,2483.6868
"32","World","OWID_WRL",1996,150.6927,0.69922996,9.215601,2517.03
"33","World","OWID_WRL",1997,161.40073,0.7496558,12.028216,2561.359
"34","World","OWID_WRL",1998,168.2064,0.811852,15.92926,2581.1204
"35","World","OWID_WRL",1999,176.63608,0.9052879,21.226898,2600.65
"36","World","OWID_WRL",2000,184.89665,1.0594312,31.409636,2646.7285
"37","World","OWID_WRL",2001,192.05826,1.4237884,38.380093,2578.737
"38","World","OWID_WRL",2002,206.70955,1.7994766,52.381878,2626.306
"39","World","OWID_WRL",2003,218.39073,2.255641,63.2847,2623.0532
"40","World","OWID_WRL",2004,236.05714,2.9718347,85.618484,2816.6147
"41","World","OWID_WRL",2005,255.4333,4.187687,104.62774,2911.3308
"42","World","OWID_WRL",2006,272.0138,5.762825,133.5028,3022.2476
"43","World","OWID_WRL",2007,295.2423,7.818763,171.5083,3072.5112
"44","World","OWID_WRL",2008,315.8789,12.6981945,221.41554,3251.702
"45","World","OWID_WRL",2009,339.2694,21.073503,276.79816,3246.445
"46","World","OWID_WRL",2010,378.83444,33.912262,346.40918,3430.1318
"47","World","OWID_WRL",2011,397.6471,65.64861,440.67798,3492.674
"48","World","OWID_WRL",2012,430.3208,101.52152,530.5034,3641.8489
"49","World","OWID_WRL",2013,464.44162,138.59294,635.5076,3788.1174
"50","World","OWID_WRL",2014,502.8774,197.2615,705.8885,3889.0215
"51","World","OWID_WRL",2015,544.0647,255.97948,831.37604,3879.4531
"52","World","OWID_WRL",2016,552.9557,328.41495,962.1343,4014.4116
"53","World","OWID_WRL",2017,588.78033,445.47995,1141.5242,4071.2231
"54","World","OWID_WRL",2018,636.2133,575.76025,1269.5287,4189.757
"55","World","OWID_WRL",2019,667.61945,705.22516,1420.624,4243.2876
"56","World","OWID_WRL",2020,702.9823,854.37476,1593.953,4359.012
"57","World","OWID_WRL",2021,751.1769,1059.2937,1854.1052,4288.783
"58","World","OWID_WRL",2022,776.85657,1322.6157,2104.8396,4334.19
