"","Entity","Code","Year","solar_perc"
"1","ASEAN (Ember)","",2021,2.9833288
"2","Afghanistan","AFG",2021,9.638555
"3","Africa","",2021,2.0397222
"4","Africa (EI)","",2021,1.9963548
"5","Africa (Ember)","",2021,2.0397222
"6","Albania","ALB",2021,0.78125
"7","Algeria","DZA",2021,1.0447569
"8","American Samoa","ASM",2021,0
"9","Angola","AGO",2021,0.12172854
"10","Antigua and Barbuda","ATG",2021,5.714286
"11","Argentina","ARG",2021,1.479411
"12","Armenia","ARM",2021,1.2295082
"13","Aruba","ABW",2021,1.0752689
"14","Asia","",2021,3.809805
"15","Asia (Ember)","",2021,4.0227222
"16","Asia Pacific (EI)","",2021,4.224588
"17","Australia","AUS",2021,11.34947
"18","Austria","AUT",2021,4.152353
"19","Azerbaijan","AZE",2021,0.19018638
"20","Bahamas","BHS",2021,0
"21","Bahrain","BHR",2021,0.031476233
"22","Bangladesh","BGD",2021,0.5833437
"23","Barbados","BRB",2021,7.476635
"24","Belarus","BLR",2021,0.41039672
"25","Belgium","BEL",2021,5.675048
"26","Belize","BLZ",2021,1.5625
"27","Benin","BEN",2021,4.166667
"28","Bhutan","BTN",2021,0
"29","Bolivia","BOL",2021,4.438149
"30","Bosnia and Herzegovina","BIH",2021,0.40276182
"31","Botswana","BWA",2021,0.456621
"32","Brazil","BRA",2021,2.5279965
"33","British Virgin Islands","VGB",2021,0
"34","Brunei","BRN",2021,0
"35","Bulgaria","BGR",2021,3.1078224
"36","Burkina Faso","BFA",2021,6.857143
"37","Burundi","BDI",2021,2.7777777
"38","CIS (EI)","",2021,0.29524234
"39","Cambodia","KHM",2021,4.2577677
"40","Cameroon","CMR",2021,0.2484472
"41","Canada","CAN",2021,0.8163591
"42","Cape Verde","CPV",2021,2.2222223
"43","Cayman Islands","CYM",2021,2.739726
"44","Central African Republic","CAF",2021,0
"45","Central America (EI)","",2021,4.96641
"46","Chad","TCD",2021,0
"47","Chile","CHL",2021,13.237639
"48","China","CHN",2021,3.854305
"49","Colombia","COL",2021,0.39550117
"50","Comoros","COM",2021,0
"51","Congo","COG",2021,0
"52","Cook Islands","COK",2021,40
"53","Costa Rica","CRI",2021,0.47206923
"54","Cote d'Ivoire","CIV",2021,0.09107468
"55","Croatia","HRV",2021,0.9920636
"56","Cuba","CUB",2021,1.3164557
"57","Cyprus","CYP",2021,9.1796875
