"","Entity","Code","Year","low_carbon_perc"
"1","Australia","AUS","1985",NA
"2","Brazil","BRA","1985",95.42596
"3","Canada","CAN","1985",79.70173
"4","China","CHN","1985",22.495691
"5","France","FRA","1985",65.05733
"6","Germany","DEU","1985",26.532438
"7","India","IND","1985",30.217337
"8","Japan","JPN","1985",37.971626
"9","Norway","NOR","1985",99.12481
"10","Russia","RUS","1985",10.324031
"11","South Africa","ZAF","1985",4.1389356
"12","Sweden","SWE","1985",95.783134
"13","United Kingdom","GBR","1985",21.822412
"14","United States","USA","1985",27.378084
"15","World","OWID_WRL","1985",35.878166
"16","Australia","AUS","1986",NA
"17","Brazil","BRA","1986",91.90023
"18","Canada","CAN","1986",81.899506
"19","China","CHN","1986",21.032778
"20","France","FRA","1986",70.016014
"21","Germany","DEU","1986",28.775768
"22","India","IND","1986",28.41425
"23","Japan","JPN","1986",38.439285
"24","Norway","NOR","1986",98.9135
"25","Russia","RUS","1986",10.507439
"26","South Africa","ZAF","1986",7.0331426
"27","Sweden","SWE","1986",95.830536
"28","United Kingdom","GBR","1986",21.20706
"29","United States","USA","1986",28.830042
"30","World","OWID_WRL","1986",36.20931
"31","Australia","AUS","1987",NA
"32","Brazil","BRA","1987",93.5117
"33","Canada","CAN","1987",79.73043
"34","China","CHN","1987",20.114803
"35","France","FRA","1987",70.15312
"36","Germany","DEU","1987",30.71054
"37","India","IND","1987",24.26951
"38","Japan","JPN","1987",38.68589
"39","Norway","NOR","1987",99.05163
"40","Russia","RUS","1987",11.907018
"41","South Africa","ZAF","1987",5.108516
"42","Sweden","SWE","1987",96.33829
"43","United Kingdom","GBR","1987",19.66979
"44","United States","USA","1987",28.039835
"45","World","OWID_WRL","1987",36.170692
"46","Australia","AUS","1988",NA
"47","Brazil","BRA","1988",94.45829
"48","Canada","CAN","1988",77.623665
"49","China","CHN","1988",20.023113
"50","France","FRA","1988",70.27033
"51","Germany","DEU","1988",32.49279
"52","India","IND","1988",25.151453
"53","Japan","JPN","1988",37.17183
"54","Norway","NOR","1988",98.96837
"55","Russia","RUS","1988",12.652633
"56","South Africa","ZAF","1988",8.634699
"57","Sweden","SWE","1988",96.66485
"58","United Kingdom","GBR","1988",22.129559
"59","United States","USA","1988",28.324333
"60","World","OWID_WRL","1988",36.65948
"61","Australia","AUS","1989",NA
"62","Brazil","BRA","1989",94.67128
"63","Canada","CAN","1989",74.93478
"64","China","CHN","1989",20.247429
"65","France","FRA","1989",75.07249
"66","Germany","DEU","1989",32.452003
"67","India","IND","1989",24.735664
"68","Japan","JPN","1989",36.835907
"69","Norway","NOR","1989",99.35569
"70","Russia","RUS","1989",12.664978
"71","South Africa","ZAF","1989",8.483156
"72","Sweden","SWE","1989",97.52325
"73","United Kingdom","GBR","1989",24.321344
"74","United States","USA","1989",27.989052
"75","World","OWID_WRL","1989",35.51374
"76","Australia","AUS","1990",9.9702215
"77","Brazil","BRA","1990",95.50487
"78","Canada","CAN","1990",77.42499
"79","China","CHN","1990",20.414036
"80","France","FRA","1990",88.65292
"81","Germany","DEU","1990",31.375956
"82","India","IND","1990",25.319405
"83","Japan","JPN","1990",33.21695
"84","Norway","NOR","1990",99.90944
"85","Russia","RUS","1990",26.357018
"86","South Africa","ZAF","1990",5.656418
"87","Sweden","SWE","1990",97.70517
"88","United Kingdom","GBR","1990",22.523287
"89","United States","USA","1990",29.700468
"90","World","OWID_WRL","1990",35.78884
"91","Australia","AUS","1991",10.368504
"92","Brazil","BRA","1991",95.24155
"93","Canada","CAN","1991",78.02858
"94","China","CHN","1991",18.413998
"95","France","FRA","1991",86.58828
"96","Germany","DEU","1991",30.645912
"97","India","IND","1991",24.820948
"98","Japan","JPN","1991",34.539707
"99","Norway","NOR","1991",99.891365
"100","Russia","RUS","1991",26.975536
"101","South Africa","ZAF","1991",6.608998
"102","Sweden","SWE","1991",96.5299
"103","United Kingdom","GBR","1991",23.607395
"104","United States","USA","1991",30.456318
"105","World","OWID_WRL","1991",36.26115
"106","Australia","AUS","1992",10.299597
"107","Brazil","BRA","1992",95.14788
"108","Canada","CAN","1992",77.073296
"109","China","CHN","1992",17.366556
"110","France","FRA","1992",89.02874
"111","Germany","DEU","1992",33.453888
"112","India","IND","1992",22.741083
"113","Japan","JPN","1992",33.69831
"114","Norway","NOR","1992",99.90599
"115","Russia","RUS","1992",28.983389
"116","South Africa","ZAF","1992",5.972991
"117","Sweden","SWE","1992",95.87474
"118","United Kingdom","GBR","1992",26.056868
"119","United States","USA","1992",29.56135
"120","World","OWID_WRL","1992",36.13044
"121","Australia","AUS","1993",10.323705
"122","Brazil","BRA","1993",95.431725
"123","Canada","CAN","1993",79.28152
"124","China","CHN","1993",18.948397
"125","France","FRA","1993",92.63084
"126","Germany","DEU","1993",33.263794
"127","India","IND","1993",21.344929
"128","Japan","JPN","1993",37.99391
"129","Norway","NOR","1993",99.89131
"130","Russia","RUS","1993",30.685658
"131","South Africa","ZAF","1993",4.23626
"132","Sweden","SWE","1993",95.18794
"133","United Kingdom","GBR","1993",29.555134
"134","United States","USA","1993",29.139286
"135","World","OWID_WRL","1993",37.050396
"136","Australia","AUS","1994",9.914866
"137","Brazil","BRA","1994",95.42675
"138","Canada","CAN","1994",79.690796
"139","China","CHN","1994",19.727722
"140","France","FRA","1994",92.90561
"141","Germany","DEU","1994",33.15626
"142","India","IND","1994",22.09698
"143","Japan","JPN","1994",34.15082
"144","Norway","NOR","1994",99.75045
"145","Russia","RUS","1994",31.259577
"146","South Africa","ZAF","1994",5.9282293
"147","Sweden","SWE","1994",94.29573
"148","United Kingdom","GBR","1994",29.299736
"149","United States","USA","1994",29.02471
"150","World","OWID_WRL","1994",36.604237
"151","Australia","AUS","1995",9.407731
"152","Brazil","BRA","1995",95.07129
"153","Canada","CAN","1995",78.58922
"154","China","CHN","1995",20.560476
"155","France","FRA","1995",92.15799
"156","Germany","DEU","1995",33.599216
"157","India","IND","1995",19.804989
"158","Japan","JPN","1995",37.592678
"159","Norway","NOR","1995",99.754364
"160","Russia","RUS","1995",32.07413
"161","South Africa","ZAF","1995",6.3378963
"162","Sweden","SWE","1995",94.739685
"163","United Kingdom","GBR","1995",28.822786
"164","United States","USA","1995",30.472076
"165","World","OWID_WRL","1995",37.07818
"166","Australia","AUS","1996",9.408696
"167","Brazil","BRA","1996",94.39373
"168","Canada","CAN","1996",79.47751
"169","China","CHN","1996",18.86082
"170","France","FRA","1996",91.48598
"171","Germany","DEU","1996",33.879314
"172","India","IND","1996",17.847122
"173","Japan","JPN","1996",37.770123
"174","Norway","NOR","1996",99.61749
"175","Russia","RUS","1996",31.090336
"176","South Africa","ZAF","1996",6.5739756
"177","Sweden","SWE","1996",91.223946
"178","United Kingdom","GBR","1996",28.727242
"179","United States","USA","1996",30.748165
"180","World","OWID_WRL","1996",36.84991
"181","Australia","AUS","1997",8.989149
"182","Brazil","BRA","1997",94.00732
"183","Canada","CAN","1997",76.68002
"184","China","CHN","1997",18.786402
"185","France","FRA","1997",92.20696
"186","Germany","DEU","1997",35.2895
"187","India","IND","1997",17.533396
"188","Japan","JPN","1997",40.207253
"189","Norway","NOR","1997",99.682915
"190","Russia","RUS","1997",31.88816
"191","South Africa","ZAF","1997",7.0758977
"192","Sweden","SWE","1997",95.14107
"193","United Kingdom","GBR","1997",30.098227
"194","United States","USA","1997",29.259083
"195","World","OWID_WRL","1997",36.278072
"196","Australia","AUS","1998",8.488753
"197","Brazil","BRA","1998",93.93806
"198","Canada","CAN","1998",73.11891
"199","China","CHN","1998",18.49525
"200","France","FRA","1998",89.25579
"201","Germany","DEU","1998",33.77204
"202","India","IND","1998",19.280458
"203","Japan","JPN","1998",40.70877
"204","Norway","NOR","1998",99.71628
"205","Russia","RUS","1998",31.707846
"206","South Africa","ZAF","1998",7.5116615
"207","Sweden","SWE","1998",95.522385
"208","United Kingdom","GBR","1998",29.949043
"209","United States","USA","1998",28.539993
"210","World","OWID_WRL","1998",35.81597
"211","Australia","AUS","1999",8.457535
"212","Brazil","BRA","1999",91.22531
"213","Canada","CAN","1999",73.92155
"214","China","CHN","1999",17.311365
"215","France","FRA","1999",90.102264
"216","Germany","DEU","1999",35.964817
"217","India","IND","1999",17.925135
"218","Japan","JPN","1999",38.71299
"219","Norway","NOR","1999",99.67252
"220","Russia","RUS","1999",33.374577
"221","South Africa","ZAF","1999",6.7779245
"222","Sweden","SWE","1999",95.54379
"223","United Kingdom","GBR","1999",28.678988
"224","United States","USA","1999",29.336617
"225","World","OWID_WRL","1999",35.66371
"226","Australia","AUS","2000",8.634437
"227","Brazil","BRA","2000",91.57278
"228","Canada","CAN","2000",73.5631
"229","China","CHN","2000",17.874004
"230","France","FRA","2000",90.51537
"231","Germany","DEU","2000",35.834354
"232","India","IND","2000",16.808134
"233","Japan","JPN","2000",41.49231
"234","Norway","NOR","2000",99.77533
"235","Russia","RUS","2000",34.394764
"236","South Africa","ZAF","2000",7.5329566
"237","Sweden","SWE","2000",96.71556
"238","United Kingdom","GBR","2000",25.385971
"239","United States","USA","2000",29.05815
"240","World","OWID_WRL","2000",35.814354
"241","Australia","AUS","2001",8.218014
"242","Brazil","BRA","2001",89.111
"243","Canada","CAN","2001",72.05828
"244","China","CHN","2001",20.1379
"245","France","FRA","2001",91.45038
"246","Germany","DEU","2001",35.951813
"247","India","IND","2001",16.222763
"248","Japan","JPN","2001",41.767937
"249","Norway","NOR","2001",99.65335
"250","Russia","RUS","2001",35.513443
"251","South Africa","ZAF","2001",6.706014
"252","Sweden","SWE","2001",96.18192
"253","United Kingdom","GBR","2001",26.061146
"254","United States","USA","2001",28.138706
"255","World","OWID_WRL","2001",35.33717
"256","Australia","AUS","2002",8.0833025
"257","Brazil","BRA","2002",90.15546
"258","Canada","CAN","2002",73.43517
"259","China","CHN","2002",19.137848
"260","France","FRA","2002",90.46041
"261","Germany","DEU","2002",35.968105
"262","India","IND","2002",15.112197
"263","Japan","JPN","2002",38.66364
"264","Norway","NOR","2002",99.67722
"265","Russia","RUS","2002",35.0333
"266","South Africa","ZAF","2002",7.269512
"267","Sweden","SWE","2002",94.92842
"268","United Kingdom","GBR","2002",25.735828
"269","United States","USA","2002",29.040926
"270","World","OWID_WRL","2002",34.75267
"271","Australia","AUS","2003",8.659832
"272","Brazil","BRA","2003",91.18975
"273","Canada","CAN","2003",72.50952
"274","China","CHN","2003",17.304693
"275","France","FRA","2003",89.75211
"276","Germany","DEU","2003",35.139576
"277","India","IND","2003",14.53779
